model_id,item_id,label
allenai/olmo-7b,mmlu:8,0
allenai/olmo-7b,mmlu:218,0
allenai/olmo-7b,mmlu:487,0
allenai/olmo-7b,mmlu:772,1
allenai/olmo-7b,mmlu:1175,0
allenai/olmo-7b,mmlu:1236,0
allenai/olmo-7b,mmlu:1237,0
allenai/olmo-7b,mmlu:1373,1
allenai/olmo-7b,mmlu:1586,1
allenai/olmo-7b,mmlu:1659,0
allenai/olmo-7b,mmlu:1769,0
allenai/olmo-7b,mmlu:2122,1
allenai/olmo-7b,mmlu:2183,0
allenai/olmo-7b,mmlu:2400,0
allenai/olmo-7b,mmlu:2859,0
allenai/olmo-7b,mmlu:2924,0
allenai/olmo-7b,mmlu:2974,0
allenai/olmo-7b,mmlu:3090,1
allenai/olmo-7b,mmlu:3116,1
allenai/olmo-7b,mmlu:3193,1
allenai/olmo-7b,mmlu:3208,0
allenai/olmo-7b,mmlu:3251,0
allenai/olmo-7b,mmlu:3295,1
allenai/olmo-7b,mmlu:3469,0
allenai/olmo-7b,mmlu:3571,0
allenai/olmo-7b,mmlu:3660,0
allenai/olmo-7b,mmlu:3691,0
allenai/olmo-7b,mmlu:3844,0
allenai/olmo-7b,mmlu:3853,0
allenai/olmo-7b,mmlu:3943,0
allenai/olmo-7b,mmlu:4190,0
allenai/olmo-7b,mmlu:4201,0
allenai/olmo-7b,mmlu:4215,1
allenai/olmo-7b,mmlu:4333,0
allenai/olmo-7b,mmlu:4367,0
allenai/olmo-7b,mmlu:4671,0
allenai/olmo-7b,mmlu:4688,0
allenai/olmo-7b,mmlu:4960,1
allenai/olmo-7b,mmlu:5337,0
allenai/olmo-7b,mmlu:5459,0
allenai/olmo-7b,mmlu:5491,0
allenai/olmo-7b,mmlu:5508,0
allenai/olmo-7b,mmlu:5612,1
allenai/olmo-7b,mmlu:5813,0
allenai/olmo-7b,mmlu:6105,0
allenai/olmo-7b,mmlu:6201,0
allenai/olmo-7b,mmlu:6208,0
allenai/olmo-7b,mmlu:6329,0
allenai/olmo-7b,mmlu:6425,0
allenai/olmo-7b,mmlu:6496,0
allenai/olmo-7b,mmlu:6611,0
allenai/olmo-7b,mmlu:6690,1
allenai/olmo-7b,mmlu:6734,0
allenai/olmo-7b,mmlu:6843,1
allenai/olmo-7b,mmlu:6851,0
allenai/olmo-7b,mmlu:6908,1
allenai/olmo-7b,mmlu:7050,0
allenai/olmo-7b,mmlu:7076,0
allenai/olmo-7b,mmlu:7224,0
allenai/olmo-7b,mmlu:7310,1
allenai/olmo-7b,mmlu:7481,0
allenai/olmo-7b,mmlu:7729,0
allenai/olmo-7b,mmlu:7781,0
allenai/olmo-7b,mmlu:7889,0
allenai/olmo-7b,mmlu:7895,0
allenai/olmo-7b,mmlu:8358,0
allenai/olmo-7b,mmlu:8394,0
allenai/olmo-7b,mmlu:8624,0
allenai/olmo-7b,mmlu:8686,0
allenai/olmo-7b,mmlu:8701,0
allenai/olmo-7b,mmlu:9022,0
allenai/olmo-7b,mmlu:9232,1
allenai/olmo-7b,mmlu:9245,0
allenai/olmo-7b,mmlu:9411,0
allenai/olmo-7b,mmlu:9718,0
allenai/olmo-7b,mmlu:9819,0
allenai/olmo-7b,mmlu:9826,1
allenai/olmo-7b,mmlu:10070,0
allenai/olmo-7b,mmlu:10146,0
allenai/olmo-7b,mmlu:10199,0
allenai/olmo-7b,mmlu:10306,0
allenai/olmo-7b,mmlu:10307,0
allenai/olmo-7b,mmlu:10354,0
allenai/olmo-7b,mmlu:10606,0
allenai/olmo-7b,mmlu:10671,0
allenai/olmo-7b,mmlu:10895,0
allenai/olmo-7b,mmlu:10935,1
allenai/olmo-7b,mmlu:10968,0
allenai/olmo-7b,mmlu:11082,0
allenai/olmo-7b,mmlu:11135,1
allenai/olmo-7b,mmlu:11777,0
allenai/olmo-7b,mmlu:12051,0
allenai/olmo-7b,mmlu:12124,1
allenai/olmo-7b,mmlu:12293,0
allenai/olmo-7b,mmlu:12539,1
allenai/olmo-7b,mmlu:12586,0
allenai/olmo-7b,mmlu:12592,0
allenai/olmo-7b,mmlu:12687,1
allenai/olmo-7b,mmlu:12810,0
allenai/olmo-7b,mmlu:13183,0
meta/llama-2-13b,mmlu:8,1
meta/llama-2-13b,mmlu:218,1
meta/llama-2-13b,mmlu:487,0
meta/llama-2-13b,mmlu:772,0
meta/llama-2-13b,mmlu:1175,0
meta/llama-2-13b,mmlu:1236,0
meta/llama-2-13b,mmlu:1237,1
meta/llama-2-13b,mmlu:1373,1
meta/llama-2-13b,mmlu:1586,1
meta/llama-2-13b,mmlu:1659,0
meta/llama-2-13b,mmlu:1769,0
meta/llama-2-13b,mmlu:2122,0
meta/llama-2-13b,mmlu:2183,0
meta/llama-2-13b,mmlu:2400,0
meta/llama-2-13b,mmlu:2859,1
meta/llama-2-13b,mmlu:2924,0
meta/llama-2-13b,mmlu:2974,1
meta/llama-2-13b,mmlu:3090,0
meta/llama-2-13b,mmlu:3116,1
meta/llama-2-13b,mmlu:3193,0
meta/llama-2-13b,mmlu:3208,0
meta/llama-2-13b,mmlu:3251,0
meta/llama-2-13b,mmlu:3295,1
meta/llama-2-13b,mmlu:3469,0
meta/llama-2-13b,mmlu:3571,0
meta/llama-2-13b,mmlu:3660,1
meta/llama-2-13b,mmlu:3691,0
meta/llama-2-13b,mmlu:3844,1
meta/llama-2-13b,mmlu:3853,0
meta/llama-2-13b,mmlu:3943,0
meta/llama-2-13b,mmlu:4190,1
meta/llama-2-13b,mmlu:4201,0
meta/llama-2-13b,mmlu:4215,1
meta/llama-2-13b,mmlu:4333,0
meta/llama-2-13b,mmlu:4367,0
meta/llama-2-13b,mmlu:4671,0
meta/llama-2-13b,mmlu:4688,0
meta/llama-2-13b,mmlu:4960,1
meta/llama-2-13b,mmlu:5337,1
meta/llama-2-13b,mmlu:5459,1
meta/llama-2-13b,mmlu:5491,0
meta/llama-2-13b,mmlu:5508,0
meta/llama-2-13b,mmlu:5612,1
meta/llama-2-13b,mmlu:5813,1
meta/llama-2-13b,mmlu:6105,1
meta/llama-2-13b,mmlu:6201,1
meta/llama-2-13b,mmlu:6208,1
meta/llama-2-13b,mmlu:6329,0
meta/llama-2-13b,mmlu:6425,1
meta/llama-2-13b,mmlu:6496,1
meta/llama-2-13b,mmlu:6611,1
meta/llama-2-13b,mmlu:6690,1
meta/llama-2-13b,mmlu:6734,0
meta/llama-2-13b,mmlu:6843,1
meta/llama-2-13b,mmlu:6851,0
meta/llama-2-13b,mmlu:6908,1
meta/llama-2-13b,mmlu:7050,1
meta/llama-2-13b,mmlu:7076,1
meta/llama-2-13b,mmlu:7224,0
meta/llama-2-13b,mmlu:7310,1
meta/llama-2-13b,mmlu:7481,0
meta/llama-2-13b,mmlu:7729,0
meta/llama-2-13b,mmlu:7781,0
meta/llama-2-13b,mmlu:7889,0
meta/llama-2-13b,mmlu:7895,1
meta/llama-2-13b,mmlu:8358,1
meta/llama-2-13b,mmlu:8394,0
meta/llama-2-13b,mmlu:8624,0
meta/llama-2-13b,mmlu:8686,0
meta/llama-2-13b,mmlu:8701,1
meta/llama-2-13b,mmlu:9022,1
meta/llama-2-13b,mmlu:9232,1
meta/llama-2-13b,mmlu:9245,0
meta/llama-2-13b,mmlu:9411,1
meta/llama-2-13b,mmlu:9718,1
meta/llama-2-13b,mmlu:9819,1
meta/llama-2-13b,mmlu:9826,1
meta/llama-2-13b,mmlu:10070,0
meta/llama-2-13b,mmlu:10146,1
meta/llama-2-13b,mmlu:10199,1
meta/llama-2-13b,mmlu:10306,0
meta/llama-2-13b,mmlu:10307,1
meta/llama-2-13b,mmlu:10354,0
meta/llama-2-13b,mmlu:10606,1
meta/llama-2-13b,mmlu:10671,1
meta/llama-2-13b,mmlu:10895,1
meta/llama-2-13b,mmlu:10935,0
meta/llama-2-13b,mmlu:10968,1
meta/llama-2-13b,mmlu:11082,1
meta/llama-2-13b,mmlu:11135,0
meta/llama-2-13b,mmlu:11777,1
meta/llama-2-13b,mmlu:12051,0
meta/llama-2-13b,mmlu:12124,0
meta/llama-2-13b,mmlu:12293,0
meta/llama-2-13b,mmlu:12539,0
meta/llama-2-13b,mmlu:12586,0
meta/llama-2-13b,mmlu:12592,0
meta/llama-2-13b,mmlu:12687,0
meta/llama-2-13b,mmlu:12810,1
meta/llama-2-13b,mmlu:13183,0
microsoft/phi-2,mmlu:8,1
microsoft/phi-2,mmlu:218,1
microsoft/phi-2,mmlu:487,0
microsoft/phi-2,mmlu:772,0
microsoft/phi-2,mmlu:1175,1
microsoft/phi-2,mmlu:1236,0
microsoft/phi-2,mmlu:1237,1
microsoft/phi-2,mmlu:1373,1
microsoft/phi-2,mmlu:1586,0
microsoft/phi-2,mmlu:1659,1
microsoft/phi-2,mmlu:1769,0
microsoft/phi-2,mmlu:2122,0
microsoft/phi-2,mmlu:2183,0
microsoft/phi-2,mmlu:2400,1
microsoft/phi-2,mmlu:2859,1
microsoft/phi-2,mmlu:2924,1
microsoft/phi-2,mmlu:2974,1
microsoft/phi-2,mmlu:3090,0
microsoft/phi-2,mmlu:3116,0
microsoft/phi-2,mmlu:3193,0
microsoft/phi-2,mmlu:3208,1
microsoft/phi-2,mmlu:3251,0
microsoft/phi-2,mmlu:3295,0
microsoft/phi-2,mmlu:3469,0
microsoft/phi-2,mmlu:3571,0
microsoft/phi-2,mmlu:3660,1
microsoft/phi-2,mmlu:3691,1
microsoft/phi-2,mmlu:3844,1
microsoft/phi-2,mmlu:3853,0
microsoft/phi-2,mmlu:3943,0
microsoft/phi-2,mmlu:4190,1
microsoft/phi-2,mmlu:4201,0
microsoft/phi-2,mmlu:4215,0
microsoft/phi-2,mmlu:4333,1
microsoft/phi-2,mmlu:4367,0
microsoft/phi-2,mmlu:4671,0
microsoft/phi-2,mmlu:4688,0
microsoft/phi-2,mmlu:4960,0
microsoft/phi-2,mmlu:5337,1
microsoft/phi-2,mmlu:5459,1
microsoft/phi-2,mmlu:5491,0
microsoft/phi-2,mmlu:5508,1
microsoft/phi-2,mmlu:5612,1
microsoft/phi-2,mmlu:5813,0
microsoft/phi-2,mmlu:6105,0
microsoft/phi-2,mmlu:6201,1
microsoft/phi-2,mmlu:6208,1
microsoft/phi-2,mmlu:6329,0
microsoft/phi-2,mmlu:6425,1
microsoft/phi-2,mmlu:6496,1
microsoft/phi-2,mmlu:6611,1
microsoft/phi-2,mmlu:6690,1
microsoft/phi-2,mmlu:6734,0
microsoft/phi-2,mmlu:6843,1
microsoft/phi-2,mmlu:6851,1
microsoft/phi-2,mmlu:6908,1
microsoft/phi-2,mmlu:7050,1
microsoft/phi-2,mmlu:7076,1
microsoft/phi-2,mmlu:7224,0
microsoft/phi-2,mmlu:7310,1
microsoft/phi-2,mmlu:7481,0
microsoft/phi-2,mmlu:7729,0
microsoft/phi-2,mmlu:7781,0
microsoft/phi-2,mmlu:7889,0
microsoft/phi-2,mmlu:7895,0
microsoft/phi-2,mmlu:8358,1
microsoft/phi-2,mmlu:8394,0
microsoft/phi-2,mmlu:8624,1
microsoft/phi-2,mmlu:8686,1
microsoft/phi-2,mmlu:8701,1
microsoft/phi-2,mmlu:9022,1
microsoft/phi-2,mmlu:9232,0
microsoft/phi-2,mmlu:9245,0
microsoft/phi-2,mmlu:9411,0
microsoft/phi-2,mmlu:9718,0
microsoft/phi-2,mmlu:9819,1
microsoft/phi-2,mmlu:9826,1
microsoft/phi-2,mmlu:10070,1
microsoft/phi-2,mmlu:10146,1
microsoft/phi-2,mmlu:10199,0
microsoft/phi-2,mmlu:10306,0
microsoft/phi-2,mmlu:10307,1
microsoft/phi-2,mmlu:10354,1
microsoft/phi-2,mmlu:10606,1
microsoft/phi-2,mmlu:10671,1
microsoft/phi-2,mmlu:10895,1
microsoft/phi-2,mmlu:10935,0
microsoft/phi-2,mmlu:10968,1
microsoft/phi-2,mmlu:11082,1
microsoft/phi-2,mmlu:11135,0
microsoft/phi-2,mmlu:11777,1
microsoft/phi-2,mmlu:12051,1
microsoft/phi-2,mmlu:12124,0
microsoft/phi-2,mmlu:12293,0
microsoft/phi-2,mmlu:12539,1
microsoft/phi-2,mmlu:12586,0
microsoft/phi-2,mmlu:12592,0
microsoft/phi-2,mmlu:12687,1
microsoft/phi-2,mmlu:12810,1
microsoft/phi-2,mmlu:13183,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:8,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:218,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:487,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:772,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:1175,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:1236,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:1237,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:1373,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:1586,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:1659,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:1769,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:2122,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:2183,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:2400,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:2859,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:2924,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:2974,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3090,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3116,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3193,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3208,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3251,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3295,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3469,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3571,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3660,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3691,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3844,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3853,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:3943,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4190,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4201,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4215,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4333,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4367,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4671,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4688,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:4960,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:5337,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:5459,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:5491,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:5508,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:5612,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:5813,0
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:6105,1
meta/llama-3.2-11b-vision-instruct-turbo,mmlu:6201,1
